Keys,V1,V2,V3,V4
170819_123554,3.12,3.04,3.07,3.14
170819_124018,3.12,3.13,3.03,3.08
170819_124602,3.14,3.07,3.1,3.04
170819_125137,3.04,3.15,3.11,3.08
170819_131210,3.13,3.02,3.06,3.11
170819_132321,3.12,3.13,3.01,3.05
170819_135129,3.07,3.06,3.1,3.13
170819_140211,3.11,3.08,3.03,3.04
170819_141825,3.13,3.06,3.12,3.07
170819_142558,3.01,3.12,3.05,3.13
170819_144235,3.06,3.12,3.09,3.14
170819_144653,3.06,3.08,3.14,3.01
170819_145043,3.06,3.1,3.01,3.15
170819_145444,3.13,3.09,3.03,3.12
170819_145850,3.08,3.1,3.02,3.14
170819_150348,3.13,3.09,3.12,3.05
170819_150756,3.04,3.03,3.12,3.15
170819_152208,3.15,3.06,3.03,3.08
170819_152703,3.12,3.13,3.04,3.01
170819_153325,3.02,3.13,3.09,3.05
170819_154414,3.1,3.06,3.01,3.14
170819_154916,3.03,3.13,3.08,3.05
170819_160839,3.04,3.14,,
170819_161855,3.1,3.13,3.09,3.01
170819_162505,3.03,3.14,3.04,3.12
170819_163039,3.1,3.04,3.14,3.02
170819_163644,3.05,3.01,3.13,3.12
170824_103151,3.13,3.02,3.08,3.06
170824_104231,3.07,3.13,3.11,3.06
170824_104958,3.15,3.1,3.05,3.01
170824_105840,3.12,3.02,3.04,3.13
